sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_demix_status	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230426NY075029106A	ok	suny_upstate	0.4057452429522121	no	NA	NA	NA	low_coverage
20230208NY059026859A	ok	wadsworth	0.0011704511253051	no	NA	NA	NA	low_coverage
20230706NY029025950B	ok	suny_buffalo	0.9264622278701132	yes	ok	60	58	ok
20230320NY013027961A	ok	suny_buffalo	0.9042236564893156	yes	ok	35	34	ok
20230214NY031022187A	ok	wadsworth	0.9486673577901884	yes	ok	68	67	ok
20230615NY071026522A	ok	nymc	0.5724174831956658	yes	ok	3	1	freyja_only_one_freq
20230606NY071027901A	ok	nymc	5.350633715681e-4	no	NA	NA	NA	low_coverage
20230207NY053021539A	ok	u_of_rochester	0.9738822191753336	yes	ok	45	44	ok
20230123NY029022543A	ok	suny_buffalo	0.9864227669464604	yes	ok	142	141	ok
20230717NY059026859A	ok	wadsworth	0.9628465371367422	yes	ok	77	77	ok
20230718NY021022039A	ok	wadsworth	0.0036451192188071	no	NA	NA	NA	low_coverage
20230705NY017021423A	ok	u_of_rochester	0.0191953984550046	no	NA	NA	NA	low_coverage
20230215NY091028240A	ok	wadsworth	0.969033207370498	yes	ok	69	69	ok
20230126NY071031518A	ok	wadsworth	0.9550881182490052	yes	ok	69	68	ok
20230831NY071026328A	ok	nymc	0.0856770223723373	no	NA	NA	NA	low_coverage
20230814NY019026018A	ok	suny_upstate	0.8448316222452597	yes	ok	13	12	ok
20230222NY103020061A	ok	wadsworth	0.9610741397184228	yes	solver_warning	34	32	ok
20230824NY071031518A	ok	nymc	0.9131525265023576	yes	ok	51	51	ok
20230405NY013027961A	ok	suny_buffalo	0.8828545630873157	yes	solver_warning	34	34	ok
20230221NY057020290A	ok	wadsworth	0.939370631709193	yes	ok	74	73	ok
20230705NY059026859A	ok	wadsworth	0.0838711834932951	no	NA	NA	NA	low_coverage
20230518NY007024414C	ok	suny_upstate	0.9361602514797848	yes	ok	52	47	ok
20230209NY087270598A	ok	nymc	0.962311473765174	yes	ok	60	59	ok
20230822NY037026514A	ok	u_of_rochester	0.0218707153128448	no	NA	NA	NA	low_coverage
20230829NY087022748A	ok	nymc	0.9755208507507608	yes	ok	61	61	ok
20230403NY001026867A	ok	u_of_rochester	0.9340199979935124	yes	ok	46	40	ok
20230518NY071031518A	ok	nymc	0.7409624452396081	yes	solver_warning	13	10	ok
20230302NY101021431A	ok	u_of_rochester	0.9665919807377186	yes	ok	56	55	ok
20230601NY099033308A	ok	u_of_rochester	0.9068320904257098	yes	ok	17	17	ok
20230626NY063027979A	ok	suny_buffalo	0.648128950272548	yes	solver_warning	15	14	ok
20230522NY067027723A	ok	suny_upstate	0.954854028023944	yes	ok	29	29	ok
20230611NY067027618A	ok	suny_upstate	0.0051499849513425	no	NA	NA	NA	low_coverage
20230613NY103065358A	ok	wadsworth	0.6468247333043508	yes	solver_warning	10	10	ok
20230130NY059026450A	ok	wadsworth	0.2484366117111996	no	NA	NA	NA	low_coverage
20230419NY119026701A	ok	nymc	0	no	NA	NA	NA	low_coverage
20230821NY063027979A	ok	suny_buffalo	0.953783901280808	yes	ok	44	44	ok
20230222NY043036528A	ok	wadsworth	0.9626793298331272	yes	ok	59	59	ok
20230801NY051024384A	ok	u_of_rochester	0.0011035682038588	no	NA	NA	NA	low_coverage
